title,author,musicType
Enough For You-Olivia Rodrigo,Olivia Rodrigo,流行
ユメイロコンパス-NEW GAME片尾曲,Fourfolium,动漫
两个人总是-ふたりはいつも-美少女万华镜,秋山裕和,轻音乐
100 Ways-王嘉尔,王嘉尔,流行
我想要-天上的月亮和地上的霜-简单版-抖音,盖君炎,流行
Lost Cause-Billie Eilish,Billie Eilish,流行
Dont Call Me-SHINee,SHINee,流行
Sunshine-Tieks ft Dan Harkna,Tieks,流行
你是我所有-C调简单版-良辰美景好时光片尾曲,刘宇宁,影视
心动-C调简单版-我的时代你的时代片尾曲,刘宇宁,影视
万疆-简单版-庆祝建党100周年献礼歌曲,李玉刚,流行
Force-完整版,Tomorrow X Together,动漫
Heartbreak Anthem,Galantis,流行
花期-C调简单版,胡夏,流行
挺好个人呐-C调简单版-我和我的家乡推广曲,刘宇宁,影视
刺客-月影沉沉危伏层层竹林深深寒风阵阵-抖音,灼夭,流行
银河与星斗-晚风依旧很温柔一个人慢慢走-抖音,yihuik苡慧,流行
Catch the Moment-刀剑神域序列之争主题曲,LiSA,影视
Aurora-K-391 ft RØRY,K-391,流行
SEA HORIZON-放学后海堤日记OP,海野高中海堤社,动漫
The End of The War-进击的巨人 The Final Season OST,泽野弘之,动漫
爱上了-你是我的城池营垒插曲,胡夏,影视
心不由己-C调简单版-择天记插曲,郁可唯,影视
Yonaguni-Bad Bunny,Bad Bunny,流行
Taunt-Lovejoy,Lovejoy,流行
Favorite Crime-Olivia Rodrigo,Olivia Rodrigo,流行
ハレハレヤ-朗朗晴天,羽生まゐご,流行
我离孤单几公里-完整版,华晨宇,流行
有生之年-愿你没有遗憾 有生之年愿你笑容灿烂-超简版,张远,流行
That Funny Feeling-Bo Burnham,Bo Burnham,流行
Illicit Affairs-Taylor Swift,Taylor Swift,流行
No 6-战斗员派遣中片头曲,伊藤美来,动漫
Happier-Olivia Rodrigo,Olivia Rodrigo,流行
アイリス-完整版,蓝井艾露,动漫
止战之殇-周杰伦,周杰伦,流行
Jealousy Jealousy-Olivia Rodrigo,Olivia Rodrigo,流行
One Day-Lovejoy,Lovejoy,流行
Sing My Pleasure-薇薇 -萤石眼之歌-片头曲,八木海莉,动漫
なだめスかし Negotiation-宇崎学妹想要玩OP,鹿乃,动漫
单程车票-伍佰,伍佰,流行
窗-简单版-轻烟飘过似同窃语敲打我的窗-抖音,虎二,流行
BEAUTIFUL-黑色五叶草ED,Treasure,动漫
Till Forever Falls Apart,Ashe,流行
Little Bit of Love-Tom Grennan,Tom Grennan,流行
Torch of Liberty-炎炎消防队 贰之章OP2,Kana-Boon,动漫
分身-单依纯,单依纯,流行
花火が瞬く夜に-羽肿,羽肿,轻音乐
I Say Goodbye-Florian Bur-唯美纯音乐,Florian Bur,轻音乐
Sex Sells-Lovejoy,Lovejoy,流行
Traitor-Olivia Rodrigo,Olivia Rodrigo,流行
Ymniam-Orch-Call of Silence-进击的巨人,泽野弘之,动漫
想你这件事-一直在我脑海中你是我永远都走不出来的迷宫-抖音,烟(许佳豪),流行
Bonnie Clyde-宋雨琦,宋雨琦,流行
Leave Before You Love Me,Marshmello,流行
All I Know So Far-Pink,Pink,流行
坦诚-C调简单版-叛逆者插曲,刘惜君,影视
外婆-周杰伦,周杰伦,流行
于是-C调简单版-邓紫棋,邓紫棋,流行
Running with the Wolves-Aurora,Aurora,流行
Love Again-Dua Lipa,Dua Lipa,流行
Solar Power-Lorde,Lorde,流行
蜜雪冰城甜蜜蜜-蜜雪冰城主题曲-你爱我我爱你蜜雪冰城甜蜜蜜-抖音,Stephen Foster,流行
余生-C调简单版-御赐小仵作插曲,池约翰C.J,影视
周旋-C调简单版-你是我的城池营垒插曲,张瑶,影视
Bursty Greedy Spider-我是蜘蛛又怎样OP2,铃木木乃美,动漫
Alcohol-Free-Twice,Twice,流行
After School-Weeekly,Weeekly,流行
会不会-分开了的位置被替代期待发生的事都没有来,刘大壮,流行
Above the Sea of Clouds-云海之上-原神庆云顶BGM,陈志逸,轻音乐
做勇敢的大人-C调简单版-毕业主题曲,李润祺,流行
I Will Be There for You-老友记主题曲-六人行主题曲,The Rembrandts,影视
Ancient Dreams in a Modern Land-Marina,Marina,流行
Stars-Duncan Laurence,Duncan Laurence,流行
Giant-宋雨琦,宋雨琦,流行
祈愿-如意芳霏插曲,孔肖吟,影视
Man At Arms-Position Music,Position Music,轻音乐
I Wanna Be Your Slave-Maneskin,Maneskin,流行
Venus Fly Trap-Marina,Marina,流行
If It Is You-Rose-BlackPink,Rose,流行
玦恋-简单版-千古玦尘主题曲,周深,影视
9 and Three Quarters Run Away-TXT,TXT,流行
Analogy-寒蝉鸣泣之时卒OP,彩音,动漫
Blessed-Daniel Caesar,Daniel Caesar,流行
Mask-Dream,Dream,流行
POM POM-LilyPichu,LilyPichu,流行
あいとわ-弹唱谱-Radwimps,Radwimps,流行
Greece-DJ Khaled ft Drake,DJ Khaled,流行
Not Another Love Song-Ella Mai,Ella Mai,流行
Franchise,Travis Scott,流行
Zitti e buoni-闭嘴 乖乖听话-2021年欧洲歌唱大赛,Maneskin,流行
代号魂斗罗-华晨宇,华晨宇,流行
万疆-完美版,李玉刚,流行
By Your Side-Calvin Harris ft Tom Grennan,Calvin Harris,流行
Bad Habits-Ed Sheeran,Ed Sheeran,流行
Up Up and Away-Juice WRLD,Juice WRLD,流行
爱念-谭咏麟,谭咏麟,流行
初の晴れ女バイト-天气之子OST,RADWIMPS,动漫
センチメートル-租借女友OP,The Peggies,动漫
Slumber Party-Ashnikko ft Princess Nokia,Ashnikko,流行
EveryTime I Cry-Ava Max,Ava Max,流行
陪你看星星-简单版-想陪你翻山越岭想陪你追着日落看星星,陈子晴,流行
亲爱的你呀-C调简单版-爱上特种兵插曲,张远,影视
青春-C调简单版-革命者电影推广曲,毛不易,流行
50と4つの忘れ物-佐贺偶像是传奇 Revenge OST,绀野纯子,动漫
Build a Bitch-Bella Poarch,Bella Poarch,流行
从时光中走来-C调简单版-光荣与梦想宣传曲,阿云嘎,影视
踮起脚尖爱-C调简单版-我可能不会爱你插曲,洪佩瑜,影视
落墨-锦心似玉片尾曲,钟汉良,影视
星河万里-C调简单版-你会长出羽翼拥抱星河万里-抖音,ROM邢锐,流行
Alane-Robin Schulz ft Wes,Robin Schulz,流行
美人鱼-周杰伦,周杰伦,流行
木鲸-灰澈,灰澈,轻音乐
我-LIVE ON OST-BIBI,BIBI,影视
意外-你是我的城池营垒片尾曲,叶炫清,影视
Jolie Nana-Aya Nakamura,Aya Nakamura,流行
Pac-Man-Gorillaz ft Schoolboy Q,Gorillaz,流行
The Devil Went Down To Georgia,Charlie Daniels,流行
スパークル-火花-你的名字,RADWIMPS,影视
以父之名-完整版,周杰伦,流行
Until It Sleeps-Metallica,Metallica,流行
Peacock Epoch-浦岛坂田船,浦岛坂田船,流行
Ring Ring Ring-拉长耳朵提高警觉神经细胞全面戒备-抖音,S.H.E,流行
年岁-C调简单版-千古玦尘片尾曲,毛不易,影视
夜的钢琴曲 5-还原版,石进,轻音乐
自愈-C调简单版-我试着把你忘记可总在夜里想你,穆哲熙,流行
阿楚姑娘-中国好歌曲第二季,梁凡,流行
光的方向-C调简单版-长歌行片头曲,张碧晨,影视
十八-陈雪凝,陈雪凝,流行
永遠のAria-七大罪愤怒的审判OP,雨宫天,动漫
怎叹-C调简单版-怎叹呐山有木兮那木有枝心悦君兮啊君不知,郑鱼,流行
Ludens-Bring Me the Horizon,Bring Me the Horizon,流行
Ring Ring Ring-C调简单版,S.H.E,流行
君路-狐妖小红娘片尾曲,大酥,动漫
小伦和小雨在课堂上-不能说的秘密插曲,周杰伦,影视
退守-多浪费离开就离开不值得等待我没有感慨-抖音,伊格赛听,流行
嘘じゃない-我的英雄学院第五季ED2,崎山苍志,动漫
Limpid Luster-无双大蛇OST,小池雅人,轻音乐
对你勇敢-徐秉龙,徐秉龙,流行
千年以后-天巡者ED,陈零九,影视
神树-华晨宇,华晨宇,流行
乌克丽丽-周杰伦,周杰伦,流行
暂时的记号-林俊杰,林俊杰,流行
Stay-The Kid Laroi ft Justin Bieber,The Kid Laroi,流行
The Best For You-欧阳娜娜,欧阳娜娜,流行
不如-简单版-不如我们拥抱后分手不如眼泪有空偷偷流-抖音,秦海清,流行
醜い生き物-里世界郊游OP,CHiCO with HoneyWorks,动漫
此间风骨-官居几品主题曲,落樱风,流行
如果你也这样过-尤长靖,尤长靖,流行
In the Mirror-欧洲歌唱大赛火焰传说OST,Demi Lovato,影视
Ah Puh-李知恩-IU,李知恩,流行
Cause for Concern-Lovejoy,Lovejoy,流行
Its All Futile Its All Pointless-Wilbur Soot,Wilbur Soot,流行
爸我回来了-弹唱版-周杰伦,周杰伦,流行
忍者-弹唱版-周杰伦,周杰伦,流行
PTT Paint the Town-本月少女-Loona,本月少女,流行
Golden G String-Miley Cyrus,Miley Cyrus,流行
Behind Blue Eyes-Tokio Hotel ft VIZE,Tokio Hotel,流行
大笨钟-周杰伦,周杰伦,流行
龙拳-周杰伦,周杰伦,流行
最真的梦-简单版-周华健,周华健,流行
Mulberry Street-Twenty One Pilots,Twenty One Pilots,流行
春はゆく-命运之夜 天之杯3 春之歌主题曲,Aimer,影视
黑猫警长-完美版,蔡璐,动漫
完美主义-周杰伦,周杰伦,流行
慢慢-他慢慢不再是一个男孩他慢慢学会承担所有爱-抖音,Uu,流行
虞兮叹-简单版-垓下一曲离乱楚歌声四方-抖音,闻人听書_,流行
You Right-Doja Cat ft The Weeknd,Doja Cat,流行
Ready to Love-Seventeen,Seventeen,流行
Formidable-Twenty One Pilots,Twenty One Pilots,流行
比较大的大提琴-周杰伦,周杰伦,流行
乱舞春秋-乱舞三国主题曲-周杰伦,周杰伦,流行
无星夜-双笙,双笙,流行
Ram Pam Pam,Natti Natasha,流行
Tokyovania-UnderTale-传说之下,SharaX,流行
放空-简单版-放松再慢慢升空被窝里做一个梦-抖音,Lil E,流行
困兽之斗-周杰伦,周杰伦,流行
Origin Reprise-TheFatRat,TheFatRat,轻音乐
问花-白蛇2青蛇劫起主题曲,周深,影视
Renegade-Big Red Machine ft Taylor Swift,Big Red Machine,流行
Bills Bills Bills-Destinys Child,Destiny's Child,流行
Sing My Pleasure-完美版,八木海莉,动漫
听爸爸的话-钢琴独奏版,周杰伦,流行
被辜负的青春-夜的钢琴曲Ⅳ,石进,轻音乐
记得有人在等你-夜的钢琴曲Ⅳ,石进,轻音乐
Just For a Moment-歌舞青春音乐剧集OST,Olivia Rodrigo,影视
等风吹-风一吹 你像颤抖蝴蝶 翩翩煽动了情节-抖音,不是花火呀,流行
风吹一夏-风吹过我的头发 淋着雨我就站在你家楼下-抖音,DP龙猪,流行
那年年少-还记得那年那月那花香 还记得那时那里那姑娘-抖音,宋宇宁,流行
男和女-夜的钢琴曲Ⅳ,石进,轻音乐
她的悲伤-夜的钢琴曲Ⅳ,石进,轻音乐
Unsaid Emily-茱莉与魅影男孩OST,David Lawrence,影视
Like Flames-关于我转生变成史莱姆这档事第二季OP,MindaRyn,动漫
配合-薛之谦,薛之谦,流行
无言的告别-夜的钢琴曲Ⅳ,石进,轻音乐
夏语-夜的钢琴曲Ⅳ,石进,轻音乐
星河入海-简单版-我落你指尖 就像星河奔赴海面-抖音,尹昔眠,流行
Memoria-GFriend,GFriend,流行
ウェルカム トゥ ブリリアントパーティ-碧蓝航线组合角色歌曲,上坂堇,动漫
さよなら お月様-MEMELOME,MEMELOME,轻音乐
时光背面的我-简单版-你不知道风的颜色不知道被吹散的轮廓-抖音,刘至佳,流行
这所有的一切-周杰伦,周杰伦,轻音乐
足跡-あしあと-我的英雄学院第五季ED,The Peggies,动漫
If Rain-完整版,萨吉,影视
イツカノキオク-熊熊勇闯异世界OP,和气杏未,动漫
ぐだふわエブリデー-持续狩猎史莱姆三百年 不知不觉就练到LV MAX OP,悠木碧,动漫
床边故事-周杰伦,周杰伦,流行
生活在别处的你-Another Me-C调简单版,毛不易,流行
探窗-C调简单版-她唱着他乡遇故知 一步一句是相思,国风新语,流行
New Boy-C调简单版-是的我看见到处是阳光快乐在城市上空飘扬-抖音,房东的猫,流行
巣立ちの歌-离巢之歌-奇蛋物语OP,相川奏多,动漫
反方向的钟-弹唱版-周杰伦,周杰伦,流行
緋ノ糸輪廻ノGEMINI-圣剑使的禁咒咏唱OP,Petit Milady,动漫
骁-简单版-我走过 玉门关外祁连山上飘的雪-抖音,井胧,流行
纵横四海-C调简单版-李荣浩,李荣浩,流行
Memory-Kane Brown ft Blackbear,Kane Brown,流行
Hiding In The Blue-TheFatRat ft RIELL,TheFatRat,流行
そばかす-雀斑-浪客剑心OP,JUDY AND MARY,动漫
つぎはぎもよう-悠哉日常大王 Nonstop OP,nano.RIPE,动漫
被人-C调简单版-你微笑时很美情感主题曲,薛之谦,影视
回遊する想い-终将成为你OST,大岛满,动漫
Evermore-Taylor Swift ft Bon Iver,Taylor Swift,流行
光あれ-七大罪愤怒的审判OP,冈野昭仁,动漫
将军-周杰伦,周杰伦,流行
落日与晚风-深情地相拥-简单版-抖音,IN-K,流行
想去海边-C调简单版-夏日入侵企画,夏日入侵企画,流行
羽落-C调简单版-羽落尽长安 难求枫林晚 四季交替人不换-抖音,孟维来,流行
春风无依-C调简单版-雁归西窗月插曲,司南,影视
落砂-C调简单版,金玟岐,影视
闲时灯照月-C调简单版,Winky诗,流行
自卑感-我将空空的眼神都深深的藏在 我长长的刘海背面-抖音,Uu,流行
晚夜微雨问海棠-完美版,镜予歌,流行
维也纳森林的故事-钢琴古典名曲,小约翰·施特劳斯,经典
阴天-简单版-莫文蔚,莫文蔚,流行
Dont Go Yet-Camila Cabello,Camila Cabello,流行
我要夏天-中国新歌声导师开场,周杰伦,流行
Happier Than Ever-Billie Eilish,Billie Eilish,流行
好运来-简单版-经典拜年曲,祖海,民乐
つまりはいつもくじけない-迦希大人不气馁ED,NEGI☆U,动漫
耳语者-C调简单版-变成你的那一天片头曲,梁洁,影视
甘心替代你-C调简单版-中国医生插曲,毛不易,影视
千年-C调简单版-天乩之白蛇传说插曲,金志文,影视
烟火星辰-C调简单版-你是我的荣耀片头曲,刘宇宁,影视
遥远的歌-C调简单版-你好旧时光片尾曲,刘惜君,影视
目及皆是你-简单版-我戒不掉你 像戒不了呼吸-抖音,小蓝背心,流行
Take My Breath-The Weeknd,The Weeknd,流行
解药 新版-简单版-咖啡店等了一整夜夜夜夜你还是没有出现-抖音,来一碗老于,流行
跨时代-周杰伦,周杰伦,流行
Male Fantasy-Billie Eilish,Billie Eilish,流行
曾经你说-简单版-曾经你说看星空看日落不如看我的眼眸-抖音,赵乃吉,流行
劫-C调简单版-琉璃OST,音频怪物,影视
命中人-C调简单版-琉璃OST,白澍,影视
守-C调简单版-琉璃OST,成毅,影视
Interdimensional Virus-X特遣队全员集结OST,John Murphy,影视
Skate-Bruno Mars和Anderson Paak,Bruno Mars,流行
苦瓜-陈奕迅,陈奕迅,流行
Rue des Trois Freres-Fabrizio Paterlini,Fabrizio Paterlini,轻音乐
Bergentrückung-ASGORE-Undertale-传说之下,Toby Fox,轻音乐
步崖-C调简单版-琉璃插曲,李琦,影视
夜车-C调简单版-恋爱通告片尾曲,曾轶可,影视
典狱司-完美版,音频怪物,影视
幻想即兴曲-完美原版,肖邦,经典
最远的你是我最近的爱-简单版-人生风景在游走每当孤独我回首,车继铃,流行
爱就一个字-宝莲灯片尾曲,张信哲,影视
恋爱ing-简单版-门当父不对片头曲,五月天,影视
Sadness-城市猎人插曲,国吉良一,动漫
无虑无猜的岁月-可莉EP-原神,陈致逸,轻音乐
Dancing with the Devil-Demi Lovato,Demi Lovato,流行
费加罗的婚礼序曲-莫扎特,莫扎特,经典
ケアレス-魔法纪录魔法少女小圆外传第二季-觉醒前夜OP,ClariS,动漫
别怕我伤心-张信哲,张信哲,流行
Last Hope-变奏-城市猎人插曲,国吉良一,动漫
圣诞快乐劳伦斯先生-Merry Christmas Mr Lawrence-完整版,坂本龙一,影视
最后的人-简单版-我们真的不会彼此拥抱转身再离开-抖音,杨小壮,流行
Tell Me-抖音热歌,潘玮柏,流行
The End of the World,Billie Eilish,流行
米兰的小铁匠-弹唱版-周杰伦,周杰伦,流行
热情奏鸣曲第3乐章-第23钢琴奏鸣曲-贝多芬,贝多芬,经典
Visiting Hours-Ed Sheeran,Ed Sheeran,流行
Summer of Love-Shawn Mendes ft Tainy,Shawn Mendes,流行
带我去你的城市-钢琴独奏版,石进,轻音乐
恋-钢琴部分-逃避虽可耻但有用,末广健一郎,影视
城南花已开-完整版,三亩地,轻音乐
Bonetrousle-Undertale插曲-传说之下,Toby Fox,轻音乐
有一点动心-简单版,张信哲,流行
Teléfono-Aitana,Aitana,流行
Loser Lover-TXT,TXT,流行
爱若琉璃-C调简单版-琉璃主题曲,周深,影视
暗恋是一个人的事-C调简单版-常年寄居在我日记的是你-抖音,宿羽阳,流行
依然-C调简单版-原来是美男啊插曲,李洪基,影视
怨苍天变了心-简单版-赌侠Ⅱ之上海滩赌圣主题曲,方季惟,影视
From The Shadows-黑寡妇OST,Lorne Balfe,影视
Dark Spiral Journey-桃子男孩渡海而来OP,Q-MHz,动漫
天气的错-C调简单版-郑伊健,郑伊健,流行
为你钟情-C调简单版-叫你一声-张国荣,张国荣,流行
On the Ground-Rosé,Rosé,流行
曾经的你-简单版-夏洛特烦恼-曾梦想仗剑走天涯看一看世界的繁华,许巍,影视
任天堂流泪-C调简单版-古巨基,古巨基,流行
夜机-C调简单版-陈慧娴,陈慧娴,流行
最爱-C调简单版-周慧敏,周慧敏,流行
春天花会开-简单版-任贤齐,任贤齐,流行
拍一半拖-C调简单版-陈柏宇,陈柏宇,流行
上海一九四三-周杰伦,周杰伦,流行
Deja Vu-逮虾户-头文字D插曲,Dave Rodgers,动漫
那就这样吧-简单版-再爱都曲终人散了-动力火车,动力火车,流行
傻女-C调简单版-陈慧娴,陈慧娴,流行
Dont You Hold Me Down-Alan Walker ft Georgia Ku,Alan Walker,流行
Cold Heart Pnau Remix-Elton John ft Dua Lipa,Elton John,流行
Dont Be Shy-Tiësto ft Karol G,Tiësto,流行
花好月圆夜-花好月圆插曲,任贤齐,影视
NGAAHH-Undertale-传说之下,Toby Fox,轻音乐
心雨-毛宁和杨钰莹-我的思念是不可触摸的网,毛宁,流行
hallo每一天-简单版-抖音,薛廷佑,流行
The End-末日-跳舞的线,猎豹移动公司,轻音乐
江湖缘起-C调简单版-剑网3缘起主题曲,周深,流行
南屏晚钟-C调简单版-费玉清,费玉清,流行
就算世界无童话-C调简单版,卫兰,流行
恋无可恋-C调简单版,古巨基,流行
一场游戏一场梦-简单版,王杰,流行
时光洪流-简单版-时光洪流中这份爱多渺小一放手就消散掉-抖音,程响,流行
Anyone-Seventeen,Seventeen,流行
In The Soop-防弹少年团,防弹少年团,流行
Million To One-灰姑娘OST-Cinderella OST,Camila Cabello,影视
少年中国说-C调简单版,张杰,流行
Hurricane-Kanye West,Kanye West,流行
漫步人生路-邓丽君,邓丽君,流行
其实不想走-简单版-周华健,周华健,流行
No Roots-Alice Merton,Alice Merton,流行
等你等到我心痛-C调简单版,张学友,流行
光阴独白-C调简单版-你是我的荣耀ED,徐佳莹,影视
失眠的夜-C调简单版-今夜我又失眠一个人 的房间-抖音,宋孟君,流行
女人是老虎-简单版,李娜,流行
Rain and You-机智的医生生活第二季插曲,李茂珍,影视
Love Sight-某一天灭亡来到我家门前插曲,Tomorrow X Together,影视
Ripples of Daydream-白日梦的涟漪-原神BGM,陈致逸,练习曲
望月-C调简单版-张学友,张学友,流行
执迷不悔-C调简单版-情网插曲,王菲,影视
Shivers-Ed Sheeran,Ed Sheeran,流行
Dont Shut Me Down-ABBA,ABBA,流行
Wrecked-Imagine Dragons,Imagine Dragons,流行
Lupins-AniFace,AniFace,轻音乐
Yebbas Heartbreak-Drake ft Yebba,Drake,流行
繁星璀璨的天空-C调简单版-光荣与梦想致敬曲,周深,影视
流转莹回-C调简单版-遇龙片尾曲,双笙,影视
路灯下的小姑娘-简单版-Brother Louie,邓洁仪,流行
印迹-钢琴独奏版-夜的钢琴曲Ⅲ,石进,轻音乐
长安-C调简单版-与君歌片头曲,摩登兄弟刘宇宁,影视
植物大战僵尸迷雾BGM,Laura Shigihara,轻音乐
In Front of the Post Office in Autumn-机智的医生生活第二季插曲,金大明,影视
17 40-纯音乐-AniFace,AniFace,轻音乐
对你爱不完-简单版,郭富城,流行
傻笑-周杰伦和袁咏琳,周杰伦,流行
24 Hours-Shawn Mendes,Shawn Mendes,流行
I Still Have Faith in You-ABBA,ABBA,流行
Lalisa-Lisa,Lisa,流行
感应-C调简单版-千古玦尘情感主题曲,摩登兄弟刘宇宁,影视
山海-C调简单版-千古玦尘插曲,灼夭,影视
Call My Friends-Shawn Mendes,Shawn Mendes,流行
青苹果乐园-简单版-小虎队,小虎队,流行
水手怕水-弹唱版-周杰伦,周杰伦,流行
0X1 Lovesong I Know I Love You-TXT,Tomorrow X Together,流行
305-Shawn Mendes,Shawn Mendes,流行
谁能明白我-猫头鹰与小飞象主题曲,林子祥,影视
潇洒走一回-简单版-京城四少主题曲,叶倩文,影视
Love Me Now-Kygo ft Zoe Wees,Kygo,流行
999-Selena Gomez ft Camilo,Selena Gomez,流行
Stay-好听版,The Kid Laroi,流行
未竟的告白-钢琴独奏版-夜的钢琴曲Ⅵ,石进,轻音乐
届かない恋-完整版,上原れな,动漫
路边的野花不要采-简单版,邓丽君,流行
Hanachirusato-华散之缘-原神BGM,陈致逸,轻音乐
小朋友-C调简单版-我还是不是让你捧在手心的小朋友,任然,流行
星辰不坠落-C调简单版-你总说月光不会躲星辰不会坠落,蓝心羽,流行
阿衣莫-简单版-阿衣妞妞海马塔莎洛让风吹干你脸上的泪痕-抖音,阿吉太组合,流行
不论-C调简单版-周生如故人物推广曲,阿YueYue,影视
若-C调简单版-周生如故插曲,金玟岐,影视
生活总该迎着光亮-C调简单版-乔家的儿女主题曲,周深,影视
My Universe-Coldplay ft 防弹少年团,Coldplay,流行
不负人间-C调简单版-我爬过三千台阶的一片心虔诚-抖音,阿YueYue,流行
错都错了-C调简单版-反正爱都爱了我也不该去埋怨什么-抖音,赵乃吉,流行
孤城-简单版-月照入心头世间的爱恨情仇-抖音,洛先生,流行
漫步宇宙-C调简单版-追你的人很多很多但你只需要听我说-抖音,蓝心羽,流行
Easy Come Easy Go-Imagine Dragons,Imagine Dragons,流行
Thats What I Want-Lil Nas X,Lil Nas X,流行
In Stories of Fading Light-光彩渐逝的故事-原神BGM,陈致逸,轻音乐
明明白白我的心-简单版-绝地逃亡主题曲,成龙,影视
Always Been You-Shawn Mendes,Shawn Mendes,流行
Love Nwantiti-CKay,CKay,流行
迟来的情话-C调简单版-如果在十八我没能送你花-抖音,张家旺,流行
自娱自乐-C调简单版-我学着一个人一整天都不失落-抖音,金志文,流行
My Life-Imagine Dragons,Imagine Dragons,流行
The Feels-Twice,Twice,流行
小松树-入门版-雷锋插曲,傅晶,影视
Whos in Your Head-Jonas Brothers,Jonas Brothers,流行
Midnight In Tokyo-Pentatonix ft Little Glee Monster,Pentatonix,流行
变废为宝-C调简单版-薛之谦,薛之谦,流行
去趟月光-C调简单版-你要去光着脚丫点着脚尖趟过月光,阿YueYue,流行
山川与岛屿-钢琴曲-C调简单版,Hea2t,轻音乐
星之原野-永远的七日之都千式结局BGM,陈达飞,轻音乐
Grrrls-AViVA,AViVA,流行
Its Ok-Imagine Dragons,Imagine Dragons,流行
还是会忘掉-C调简单版-你终于还是忘掉对你的好,郭子涵,流行
黄昏のゆりかご-天使不在的12月BGM,Leaf,轻音乐
那一刻心动-C调简单版-我开始心动彼此懵懵又懂懂-抖音,任子墨,流行
影子小姐-C调简单版-等某一个深夜等某一刻的停歇,封茗囧菌,流行
I Guess Im in Love-Clinton Kane,Clinton Kane,流行
如愿-C调简单版-我和我的父辈主题推广曲,王菲,影视
阿衣莫-C调简单版,阿吉太组合,流行
生来是鹰-C调简单版-你是我的荣耀插曲,陈雪燃,影视
秋之幻-原创音乐,啊鑫呀ya,原创
致叶小安的信-钢琴独奏版-夜的钢琴曲Ⅳ,石进,轻音乐
半句浓墨-C调简单版-灯下曲终人散唱绝人世悲欢-抖音,零一九零贰,流行
天边外-C调简单版-郑云龙,郑云龙,流行
旋钮-C调简单版-世界微尘里片头曲,刘瑞琦,影视
花房姑娘-简单版-老炮儿推广曲,崔健,影视
自导自演-周杰伦,周杰伦,流行
第七封情书-钢琴独奏版-夜的钢琴曲Ⅲ,石进,轻音乐
风吹过八千里-C调简单版-像风吹过八千里流云和月都曾爱过你-抖音,苏星婕,流行
怪可爱的-C调简单版-温暖的抱抱宣传曲,阴阳怪气男团,影视
画离弦-C调简单版-你抚琵琶奏琴弦我坐戏子楼台前-抖音,海伦,流行
Easy on Me-Adele,Adele,流行
Money-Lisa,Lisa,流行
爱唱歌的小杜鹃-奥地利民歌,未知,民乐
山河星光-C调简单版-王一博,王一博,流行
秋逝-钢琴独奏版-夜的钢琴曲Ⅲ,石进,轻音乐
最可爱的人-C调简单版-长津湖主题曲,张靓颖,影视
ETERNAL♭-路人女主的养成方法♭插曲,安野希世乃,动漫
I Heard the Bells on Christmas Day-圣诞颂歌,Casting Crowns,流行
Emotions-Iann Dior,Iann Dior,流行
乡念-钢琴独奏版-夜的钢琴曲Ⅲ,石进,轻音乐
夜色-完整版-邓丽君,邓丽君,流行
快乐的Do Re Mi-教学歌曲,未知,儿歌
俏郎君-C调简单版-张敬轩,张敬轩,流行
与你有关-C调简单版-时光代理人插曲,泠鸢yousa,动漫
走过咖啡屋-千百惠,千百惠,流行
我怕来者不是你-DJ版-简单版-怕无归期怕空欢喜-抖音,小蓝背心,流行
Let Somebody Go,Coldplay,流行
Strawberry Moon-IU,IU,流行
会吗-C调简单版-心愿会实现吗会吗会吧-抖音,王靖雯不胖,流行
阳光彩虹小白马,大张伟,流行
Friends-防弹少年团,防弹少年团,流行
超能力-邓紫棋,邓紫棋,流行
小小孩-时代少年团,时代少年团,流行
鞋子特大号-周杰伦,周杰伦,流行
Motley Crew-Post Malone,Post Malone,流行
玫瑰少年-五月天,五月天,流行
梦游记-时代少年团,时代少年团,流行
心引力-王俊凯和蔡依林,王俊凯,流行
Good Day-Twenty One Pilots,Twenty One Pilots,流行
Perfect World-Twice,Twice,流行
偏爱和例外-简单版-我到底要怎么做才能够被你偏爱-抖音,烟(许佳豪),流行
我的地盘-周杰伦,周杰伦,流行
隐没的天使-钢琴独奏版,石进,轻音乐
Looks Like Me-Dean Lewis,Dean Lewis,流行
Me Pase-Enrique Iglesias ft Farruko,Enrique Iglesias,流行
Lucid Dream-Aespa,Aespa,流行
我是真的爱你,张宇,流行
Hanzo Hasashi-全蝎人-真人快打毁灭OST,Benjamin Wallfisch,影视
Savage-Aespa,Aespa,流行
Bounce Man-Twenty One Pilots,Twenty One Pilots,流行
征服-简单版-那英,那英,流行
Ill Never Love Again-一个明星的诞生OST,Lady Gaga,影视
太阳月亮-C调简单版-流金岁月片尾曲,毛不易,影视
五十年以后-简单版-我希望五十年以后你还能在我左右-抖音,海来阿木,流行
紫-C调简单版-悟空传插曲,蔡健雅,影视
Black Mirror-Oneus,Oneus,流行
此去经年-钢琴独奏版-夜的钢琴曲Ⅴ,石进,轻音乐
唯一-C调简单版-我真的爱你句句不轻易,告五人,流行
我欲成仙-C调简单版-西游记后传片头曲,刘欢,影视
伊斯坦堡-弹唱版-周杰伦,周杰伦,流行
First Step-偶像荣耀插曲,神田沙也加,动漫
Ishy Bilady-祖国万岁-阿拉伯联合酋长国国歌,Mohammed Abdel Wahab,经典
明日ハレの日 ケの昨日-东方风神录 Mountain of Faith,东方Project,轻音乐
